stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000181839	9606.ENSP00000394352	CDK13	DIXDC1	9606	0.485	0	0	0	0	0.408	0	0.166
9606.ENSP00000181839	9606.ENSP00000373696	CDK13	TRIP12	9606	0.485	0	0	0	0.342	0	0	0.25
9606.ENSP00000181839	9606.ENSP00000406549	CDK13	TAF1	9606	0.505	0	0	0	0.492	0	0	0.066
9606.ENSP00000181839	9606.ENSP00000495360	CDK13	CTNNB1	9606	0.506	0	0	0	0.088	0.068	0	0.465
9606.ENSP00000181839	9606.ENSP00000370938	CDK13	CDK8	9606	0.543	0	0	0	0.06	0.072	0	0.518
9606.ENSP00000181839	9606.ENSP00000379267	CDK13	ELP4	9606	0.548	0	0	0	0.058	0	0.54	0
9606.ENSP00000181839	9606.ENSP00000263377	CDK13	BRD4	9606	0.566	0	0	0	0.119	0.292	0	0.36
9606.ENSP00000181839	9606.ENSP00000414851	CDK13	ELP2	9606	0.583	0	0	0	0.06	0.091	0.54	0.065
9606.ENSP00000181839	9606.ENSP00000278412	CDK13	SSRP1	9606	0.62	0	0	0	0.083	0	0.54	0.172
9606.ENSP00000181839	9606.ENSP00000216297	CDK13	SUPT16H	9606	0.644	0	0	0	0.075	0.073	0.54	0.205
9606.ENSP00000181839	9606.ENSP00000386759	CDK13	SETD2	9606	0.65	0	0	0	0.289	0.296	0	0.356
9606.ENSP00000181839	9606.ENSP00000316512	CDK13	TLK2	9606	0.658	0	0	0	0.639	0	0	0.091
